cluster_a,cluster_b,distance,new_size
46,96,0.0395904102018056,2
2,17,0.0483742995802084,2
6,45,0.0527616654384657,2
29,43,0.0655074739092668,2
39,64,0.0666464256724152,2
7,77,0.067442276298827,2
79,81,0.0683382964326195,2
70,90,0.0689813429652652,2
49,76,0.0724770285780957,2
68,74,0.0849608736782414,2
5,27,0.0865329189591264,2
21,67,0.0916753285432645,2
105,109,0.0924446400582858,4
38,98,0.0996290867944327,2
22,37,0.102228236441835,2
51,59,0.109747748339455,2
58,83,0.116595053491457,2
8,54,0.121674343465874,2
12,78,0.123262879953964,2
113,50,0.123660700059778,3
106,94,0.12447847789302,3
112,99,0.140767079626749,5
66,87,0.142722053637448,2
36,120,0.142807568970428,4
25,108,0.143011404607019,3
114,73,0.144685797745255,3
121,100,0.145300847981555,7
119,60,0.145307399384278,4
23,84,0.148963890972242,2
11,116,0.156538070852059,3
33,123,0.158187646244514,5
128,89,0.15970959583293,3
124,125,0.163456286433602,6
30,130,0.164121206146145,6
28,102,0.16581591307926,3
131,88,0.172817945184619,4
101,115,0.175195309665802,4
44,132,0.180931576011696,7
133,86,0.18430885796682,7
26,103,0.186712350676725,3
136,107,0.189074236066623,6
63,65,0.191223607258499,2
139,95,0.196043711205238,4
141,71,0.197842594709871,3
40,72,0.200455942844879,2
9,111,0.211667358387102,3
4,138,0.21691125134709,8
134,127,0.217556994654097,7
110,140,0.223241629567375,8
146,148,0.230506262200938,16
16,82,0.230772400300057,2
137,42,0.233936658982933,8
142,126,0.237052348379711,11
118,149,0.238794400329778,18
80,147,0.238820814736367,8
122,97,0.245154719088823,3
154,104,0.245981674036904,10
153,93,0.247662282984126,19
151,157,0.248875066955503,27
14,53,0.250555498441123,2
152,69,0.250780680627852,12
145,10,0.252909779577967,4
150,158,0.254149523915341,29
3,92,0.254210720672456,2
162,85,0.254440473787169,30
0,18,0.259658759727112,2
15,156,0.262695471641788,11
159,75,0.263384898481912,3
161,55,0.270413549481288,5
31,164,0.272673781568521,31
167,160,0.273774289636366,15
35,169,0.277742529560296,32
168,171,0.280767431501679,37
20,170,0.314882860112082,16
117,47,0.320945282078736,3
166,172,0.323470211622914,48
173,62,0.327975614196484,17
135,155,0.335535468365503,7
24,163,0.340217248100379,3
52,57,0.352459726027858,2
176,177,0.360295970469738,24
180,175,0.366098041027251,72
179,181,0.375028614346522,74
165,182,0.383905283470234,76
174,56,0.399141348723999,4
178,32,0.407686964760981,4
183,185,0.415064127423564,80
1,48,0.417663319498467,2
129,186,0.534175011252883,83
188,143,0.597234463347385,86
189,41,0.598007808780404,87
184,190,0.599179775371281,91
187,191,0.61370793082814,93
192,144,0.723222320367574,95
13,193,0.801594198868222,96
19,91,0.836984491235686,2
194,195,1.04836271330319,98
196,34,1.37500420206234,99
197,61,1.71612868355528,100
